title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
The Gardener,Documentary,28-03-18,28,03,2018,88,Fresh,75,8,Upright,77,94,4,6,2
The Gatekeeper,"Action & Adventure, Drama, Horror, Mystery & Suspense",01-01-01,01,01,2001,108,Rotten,52,21,Spilled,20,604,10,11,10
The Gatekeepers,"Documentary, Special Interest",01-02-13,01,02,2013,96,Certified-Fresh,94,111,Upright,79,10482,35,104,7
The Gentlemen,"Action & Adventure, Comedy",24-01-20,24,01,2020,113,Certified-Fresh,75,259,,84,9640,43,194,65
The German Doctor,"Art House & International, Drama, Mystery & Suspense",25-04-14,25,04,2014,93,Certified-Fresh,75,63,Upright,63,2685,23,47,16
The Ghost and Mr. Chicken,"Classics, Comedy, Kids & Family, Mystery & Suspense",20-01-66,20,01,1966,90,Fresh,67,6,Upright,75,8424,0,4,2
The Ghost of Peter Sellers,Documentary,22-05-20,22,05,2020,93,Certified-Fresh,95,42,Upright,64,30,9,40,2
The Giant Behemoth,"Classics, Drama, Horror, Science Fiction & Fantasy",03-03-59,03,03,1959,80,Rotten,20,5,Spilled,30,542,0,1,4
The Giant Mechanical Man,Comedy,27-04-12,27,04,2012,94,Fresh,70,23,Upright,65,1919,9,16,7
The Gift,Mystery & Suspense,07-08-15,07,08,2015,108,Certified-Fresh,91,194,Upright,75,51153,37,177,17
The Girl,"Drama, Horror",08-03-13,08,03,2013,95,Rotten,53,19,Spilled,43,361,9,10,9
The Girl from the Naked Eye,"Action & Adventure, Drama, Mystery & Suspense, Romance",15-06-12,15,06,2012,84,Rotten,40,15,Spilled,20,276,7,6,9
The Girl in the Book,Drama,11-12-15,11,12,2015,88,Fresh,92,13,Spilled,55,831,10,12,1
The Girl In The Photographs,"Horror, Mystery & Suspense, Special Interest",01-04-16,01,04,2016,95,Rotten,18,22,Spilled,21,342,8,4,18
The Girl in the Spider's Web,Drama,09-11-18,09,11,2018,117,Rotten,39,236,Spilled,36,1718,44,91,145
The Girl Is In Trouble,Mystery & Suspense,03-04-15,03,04,2015,94,Rotten,57,14,Spilled,40,256,6,8,6
The Girl King,"Drama, Romance",04-12-15,04,12,2015,106,Rotten,42,19,Spilled,45,199,6,8,11
The Girl on the Train,"Drama, Mystery & Suspense",07-10-16,07,10,2016,112,Rotten,44,304,Spilled,49,34463,57,134,170
The Girl,Drama,20-10-12,20,10,2012,91,Fresh,70,44,Spilled,41,507,26,31,13
The Girl Who Kicked the Hornet's Nest,"Art House & International, Drama, Mystery & Suspense",29-10-10,29,10,2010,146,Rotten,54,134,Upright,67,28256,37,73,61
The Girl Who Leapt Through Time,"Action & Adventure, Animation, Art House & International, Kids & Family",03-03-07,03,03,2007,98,Fresh,83,18,Upright,90,10915,8,15,3
The Girl With All the Gifts,Drama,24-02-17,24,02,2017,111,Certified-Fresh,86,126,Upright,67,9226,18,108,18
The Girl with the Dragon Tattoo,"Drama, Mystery & Suspense",20-12-11,20,12,2011,158,Certified-Fresh,86,249,Upright,86,119013,50,215,34
The Girl with the Dragon Tattoo,"Art House & International, Drama, Mystery & Suspense",27-02-09,27,02,2009,152,Certified-Fresh,85,190,Upright,87,51027,48,162,28
The Girls in the Band,"Documentary, Special Interest",10-05-13,10,05,2013,81,Fresh,100,10,Spilled,57,227,6,10,0
The Giver,"Drama, Science Fiction & Fantasy",15-08-14,15,08,2014,97,Rotten,35,167,Spilled,55,56210,42,58,109
The Glass Bottom Boat,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense",09-06-66,09,06,1966,110,Rotten,57,7,Upright,74,4625,0,4,3
The Glass Castle,Drama,11-08-17,11,08,2017,127,Rotten,52,164,Upright,71,8747,43,85,79
The Glass Shield,"Action & Adventure, Drama",31-12-94,31,12,1994,108,Fresh,65,23,Spilled,39,1212,8,15,8
The Gleaners and I,"Art House & International, Documentary, Drama, Special Interest",06-04-01,06,04,2001,82,Certified-Fresh,93,43,Upright,87,2470,13,40,3
The Go-Getter,"Art House & International, Comedy, Drama, Romance",06-06-08,06,06,2008,93,Rotten,42,24,Upright,61,4063,12,10,14
The Go-Getters,Comedy,,00,01,1900,83,Fresh,71,7,Upright,88,9,1,5,2
The Goebbels Experiment,"Art House & International, Documentary, Special Interest",12-08-05,12,08,2005,107,Fresh,95,19,Upright,81,402,6,18,1
The Gold Rush,"Classics, Comedy",26-06-25,26,06,1925,82,Certified-Fresh,100,50,Upright,93,20545,10,50,0
The Golden Dream (La Jaula De Oro),"Art House & International, Drama",04-09-15,04,09,2015,102,Fresh,89,36,Upright,86,1216,15,32,4
The Golem,Horror,01-02-19,01,02,2019,95,Fresh,86,28,Spilled,42,252,2,24,4
The Good Catholic,"Comedy, Drama, Romance",08-09-17,08,09,2017,96,Rotten,46,13,Upright,81,216,4,6,7
The Good Dinosaur,"Action & Adventure, Animation, Comedy, Kids & Family",25-11-15,25,11,2015,92,Certified-Fresh,76,215,Upright,65,58994,40,163,52
The Good Doctor,"Drama, Mystery & Suspense",31-08-12,31,08,2012,93,Fresh,66,29,Spilled,31,4025,11,19,10
The Good Lie,"Drama, Mystery & Suspense",03-10-14,03,10,2014,109,Certified-Fresh,88,88,Upright,82,22196,30,77,11
The Good Neighbor,Mystery & Suspense,16-09-16,16,09,2016,97,Rotten,29,14,Spilled,46,927,3,4,10
The Good Postman,Documentary,,00,01,1900,80,Fresh,100,6,Upright,67,14,1,6,0
"The Good, the Bad and the Ugly",Western,23-12-66,23,12,1966,161,Certified-Fresh,97,74,Upright,97,239803,15,72,2
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)","Action & Adventure, Art House & International, Western",23-04-10,23,04,2010,127,Certified-Fresh,82,66,Upright,83,15321,20,54,12
The Gospel of John,"Classics, Drama",11-09-03,11,09,2003,180,Rotten,37,49,Upright,88,1245,17,18,31
The Grace Card,"Drama, Faith & Spirituality",25-02-11,25,02,2011,101,Rotten,36,28,Upright,82,3970,14,10,18
The Grace of Jake,Drama,03-02-17,03,02,2017,92,Fresh,80,5,Upright,69,140,3,4,1
The Gracefield Incident,"Action & Adventure, Drama, Science Fiction & Fantasy",21-07-17,21,07,2017,89,Rotten,10,10,Spilled,16,222,3,1,9
The Grand Budapest Hotel,"Comedy, Drama",07-03-14,07,03,2014,99,Certified-Fresh,91,305,Upright,86,97547,64,280,26
The Grand Seduction,Comedy,30-05-14,30,05,2014,115,Rotten,59,69,Upright,66,6121,24,41,28
The Grandmaster,"Action & Adventure, Art House & International, Drama, Special Interest",23-08-13,23,08,2013,130,Certified-Fresh,78,138,Spilled,58,17705,42,108,30
The Great Alaskan Race,"Action & Adventure, Drama",25-10-19,25,10,2019,74,Rotten,20,10,,,,4,2,8
The Great Beauty,"Comedy, Drama",15-11-13,15,11,2013,142,Certified-Fresh,91,132,Upright,80,15494,34,120,12
The Great Buddha+,"Art House & International, Drama",23-11-18,23,11,2018,104,Fresh,89,18,Upright,83,127,5,16,2
The Great Buster: A Celebration,Documentary,05-10-18,05,10,2018,102,Certified-Fresh,94,47,Upright,90,121,13,44,3
The Great Escape,"Action & Adventure, Classics, Drama",04-07-63,04,07,1963,172,Certified-Fresh,94,48,Upright,95,103525,7,45,3
The Great Flood,"Documentary, Musical & Performing Arts, Special Interest, Faith & Spirituality",08-01-14,08,01,2014,76,Fresh,93,15,Spilled,56,121,6,14,1
The Great Gatsby,"Drama, Romance",10-05-13,10,05,2013,142,Rotten,48,297,Upright,67,209856,57,143,155
The Great Gilly Hopkins,"Comedy, Drama",07-10-16,07,10,2016,97,Fresh,65,17,Upright,69,24,8,11,6
The Great Hack,Documentary,24-07-19,24,07,2019,135,Certified-Fresh,87,52,Upright,64,396,21,45,7
The Great Hip Hop Hoax,"Documentary, Special Interest",,00,01,1900,92,Fresh,88,17,Upright,70,85,4,15,2
The Great Museum,"Documentary, Special Interest",24-04-15,24,04,2015,94,Fresh,67,15,Spilled,42,124,5,10,5
The Great Silence (Il grande silenzio),"Art House & International, Drama, Western",01-01-68,01,01,1968,105,Fresh,100,12,Upright,90,6769,3,12,0
The Great Train Robbery,"Action & Adventure, Comedy, Drama, Mystery & Suspense",02-02-79,02,02,1979,111,Fresh,73,26,Upright,68,7995,4,19,7
The Great Wall,"Action & Adventure, Drama, Mystery & Suspense",17-02-17,17,02,2017,104,Rotten,36,232,Spilled,42,23735,46,83,149
The Great War,Drama,13-12-19,13,12,2019,110,Rotten,17,6,Spilled,39,41,4,1,5
The Greatest Showman,"Drama, Musical & Performing Arts",20-12-17,20,12,2017,105,Rotten,56,262,Upright,86,26128,48,148,114
The Green Butchers,"Art House & International, Comedy, Drama",03-04-04,03,04,2004,100,Fresh,63,27,Upright,83,5583,13,17,10
The Green Inferno,"Horror, Mystery & Suspense",25-09-15,25,09,2015,100,Rotten,38,98,Spilled,29,15222,23,37,61
The Green Prince,"Documentary, Special Interest",12-09-14,12,09,2014,95,Certified-Fresh,77,52,Upright,83,1716,23,40,12
The Greening Of Whitney Brown,"Action & Adventure, Drama, Kids & Family",11-11-11,11,11,2011,87,Rotten,13,15,Spilled,37,175,10,2,13
The Grey,"Action & Adventure, Drama",27-01-12,27,01,2012,117,Certified-Fresh,79,208,Upright,61,164989,45,164,44
The Grey Zone,Drama,25-10-02,25,10,2002,108,Fresh,69,85,Upright,74,6769,27,59,26
The Grief of Others,Drama,02-11-18,02,11,2018,103,Fresh,92,12,Spilled,58,52,6,11,1
Dark Tourist,"Drama, Mystery & Suspense",23-08-13,23,08,2013,80,Rotten,33,9,Spilled,30,121,5,3,6
The Grinch,"Animation, Kids & Family, Science Fiction & Fantasy",09-11-18,09,11,2018,86,Fresh,60,190,Spilled,50,12908,29,114,76
The Ground Truth,"Documentary, Drama, Special Interest",15-09-06,15,09,2006,72,Certified-Fresh,88,48,Upright,78,12475,16,42,6
The Grudge,"Drama, Horror, Mystery & Suspense",22-10-04,22,10,2004,90,Rotten,40,162,Spilled,46,458697,35,64,98
The Grudge,Horror,03-01-20,03,01,2020,94,Rotten,20,123,,23,3394,20,25,98
The Guard,"Comedy, Mystery & Suspense",29-07-11,29,07,2011,95,Certified-Fresh,94,137,Upright,81,25973,39,129,8
The Guardian,"Action & Adventure, Drama",29-09-06,29,09,2006,139,Rotten,37,150,Upright,80,423111,40,55,95
The Guardians (Les Gardiennes),"Art House & International, Drama",04-05-18,04,05,2018,135,Certified-Fresh,93,60,Spilled,55,386,19,56,4
The Guernsey Literary and Potato Peel Pie Society,Drama,20-04-18,20,04,2018,124,Certified-Fresh,80,71,Upright,81,1426,13,57,14
The Guest,Mystery & Suspense,17-09-14,17,09,2014,99,Certified-Fresh,91,115,Upright,69,23074,34,105,10
The Guillotines,"Action & Adventure, Art House & International, Drama",14-06-13,14,06,2013,112,Rotten,14,14,Spilled,16,296,7,2,12
The Guilt Trip,Comedy,19-12-12,19,12,2012,95,Rotten,37,128,Spilled,39,39678,37,47,81
The Guilty (Den skyldige),"Drama, Mystery & Suspense",19-10-18,19,10,2018,85,Certified-Fresh,97,117,Upright,88,1385,24,114,3
The Gunman,Action & Adventure,20-03-15,20,03,2015,115,Rotten,16,177,Spilled,31,13604,47,29,149
The Half of It,"Comedy, Romance",,00,01,1900,105,Certified-Fresh,97,90,Upright,80,788,19,87,3
The Hallow (The Woods),"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",06-11-15,06,11,2015,97,Fresh,70,60,Spilled,43,6139,15,42,18
The Hand that Rocks the Cradle,"Drama, Mystery & Suspense",10-01-92,10,01,1992,110,Fresh,63,48,Upright,61,47206,14,30,18
The Handmaiden (Ah-ga-ssi),"Art House & International, Drama, Romance",21-10-16,21,10,2016,144,Certified-Fresh,95,212,Upright,91,10894,40,202,10
The Hanging Garden,Drama,15-05-98,15,05,1998,91,Fresh,94,16,Upright,73,1669,4,15,1
The Hangover Part II,Comedy,26-05-11,26,05,2011,102,Rotten,33,247,Spilled,52,196256,56,82,165
The Hangover Part III,Comedy,23-05-13,23,05,2013,100,Rotten,20,205,Spilled,44,165788,43,41,164
The Happy House,"Comedy, Horror",03-05-13,03,05,2013,80,Fresh,60,5,Spilled,30,224,2,3,2
The Happy Poet,"Comedy, Drama, Romance",22-03-13,22,03,2013,85,Fresh,73,11,Spilled,51,207,4,8,3
The Happy Prince,Drama,10-10-18,10,10,2018,105,Fresh,72,137,Spilled,51,478,30,98,39
The Happy Sad,Drama,16-08-13,16,08,2013,87,Fresh,71,14,Spilled,32,171,8,10,4
The Happytime Murders,"Action & Adventure, Comedy",24-08-18,24,08,2018,91,Rotten,23,243,Spilled,40,2660,44,57,187
The Harmonists,"Art House & International, Drama",13-02-99,13,02,1999,115,Fresh,81,37,Upright,87,981,11,30,7
The Harvest,"Horror, Mystery & Suspense",24-04-15,24,04,2015,104,Fresh,72,25,Spilled,42,593,4,18,7
The Hate U Give,Drama,19-10-18,19,10,2018,133,Certified-Fresh,97,220,Upright,83,4416,40,213,7
The Hateful Eight,Western,30-12-15,30,12,2015,168,Certified-Fresh,75,332,Upright,76,73440,55,248,85
The Hatton Garden Job,Art House & International,,00,01,1900,100,Rotten,18,17,Spilled,19,106,3,3,14
The Haunting in Connecticut 2: Ghosts of Georgia,"Drama, Horror, Mystery & Suspense",01-02-13,01,02,2013,101,Rotten,19,16,Spilled,44,10552,6,3,13
The Unspoken,"Horror, Mystery & Suspense",28-10-16,28,10,2016,91,Rotten,9,11,Spilled,34,111,4,1,10
The Haunting of Sharon Tate,"Drama, Horror, Mystery & Suspense",05-04-19,05,04,2019,94,Rotten,19,32,Spilled,30,176,6,6,26
The Hawks and the Sparrows (Uccellacci e uccellini),"Art House & International, Comedy",01-01-65,01,01,1965,88,Fresh,77,13,Upright,85,862,4,10,3
The Head Hunter,"Horror, Science Fiction & Fantasy",05-04-19,05,04,2019,72,Fresh,100,14,Spilled,56,254,1,14,0
The Healer,"Art House & International, Comedy, Drama, Kids & Family",28-09-18,28,09,2018,103,Rotten,17,6,Spilled,56,160,1,1,5
The Heart Machine,Drama,24-10-14,24,10,2014,85,Fresh,95,21,Spilled,48,525,7,20,1
The Heartbreak Kid,"Comedy, Drama, Romance",05-10-07,05,10,2007,118,Rotten,28,158,Spilled,37,315366,47,45,113
The Heat,Comedy,28-06-13,28,06,2013,117,Fresh,66,183,Upright,71,166887,44,120,63
The Hedgehog,"Art House & International, Comedy, Drama",19-08-11,19,08,2011,100,Certified-Fresh,87,71,Upright,83,5403,25,62,9
The Heir Apparent: Largo Winch,"Action & Adventure, Mystery & Suspense",18-11-11,18,11,2011,108,Rotten,53,19,Spilled,49,3995,11,10,9
The Help,Drama,10-08-11,10,08,2011,146,Certified-Fresh,76,227,Upright,89,107868,53,173,54
The Hero,Drama,09-06-17,09,06,2017,96,Certified-Fresh,78,113,Spilled,59,6978,27,88,25
The High Cost of Living,Drama,13-05-11,13,05,2011,92,Rotten,53,15,Spilled,57,790,6,8,7
The High Note,"Drama, Musical & Performing Arts, Romance",08-05-20,08,05,2020,113,Fresh,70,176,Upright,73,276,32,123,53
The Highwaymen,"Drama, Mystery & Suspense",15-03-19,15,03,2019,132,Rotten,57,138,Upright,73,1339,35,79,59
The Hippopotamus,Comedy,15-06-17,15,06,2017,89,Rotten,57,14,Spilled,50,197,4,8,6
The Hitman's Bodyguard,"Action & Adventure, Comedy",18-08-17,18,08,2017,118,Rotten,43,223,Upright,67,27106,37,97,126
The Hobbit: An Unexpected Journey,"Action & Adventure, Science Fiction & Fantasy",14-12-12,14,12,2012,169,Fresh,64,304,Upright,83,483294,56,195,109
The Hobbit: The Battle of the Five Armies,"Action & Adventure, Science Fiction & Fantasy",17-12-14,17,12,2014,144,Rotten,59,261,Upright,74,215208,53,155,107
The Hobbit: The Desolation of Smaug,"Action & Adventure, Science Fiction & Fantasy",13-12-13,13,12,2013,160,Certified-Fresh,74,247,Upright,85,264376,49,182,66
The Hole (Le Trou),"Art House & International, Drama, Mystery & Suspense",26-05-64,26,05,1964,15,Fresh,94,17,Upright,97,1161,6,16,1
The Hole in the Ground,Horror,01-03-19,01,03,2019,90,Certified-Fresh,83,88,Spilled,48,435,14,73,15
The Holiday,"Comedy, Romance",02-12-06,02,12,2006,132,Rotten,49,156,Upright,80,507656,42,77,79
The Holiday Calendar,Romance,,00,01,1900,94,Rotten,33,6,Spilled,35,101,0,2,4
The Hollars,"Comedy, Drama, Kids & Family",26-08-16,26,08,2016,88,Rotten,47,92,Spilled,59,3827,24,43,49
The Hollow,"Drama, Mystery & Suspense",07-10-16,07,10,2016,128,Rotten,40,5,Upright,68,99,1,2,3
The Hollow Point,Drama,16-12-16,16,12,2016,97,Rotten,40,15,Spilled,31,428,6,6,9
The Homesman,"Drama, Western",14-11-14,14,11,2014,122,Certified-Fresh,81,153,Spilled,52,14225,45,124,30
The Honeymoon Phase,"Drama, Mystery & Suspense, Science Fiction & Fantasy",21-08-20,21,08,2020,88,Fresh,89,9,Upright,73,11,0,8,1
The Horde (La Horde),"Action & Adventure, Art House & International, Horror, Mystery & Suspense",01-07-09,01,07,2009,90,Rotten,45,20,Spilled,41,2656,7,9,11
The Hornet's Nest,"Documentary, Special Interest",30-05-14,30,05,2014,95,Fresh,72,18,Upright,80,3222,6,13,5
The Horror of Frankenstein,"Art House & International, Comedy, Horror",17-06-71,17,06,1971,95,Rotten,55,11,Spilled,42,2307,1,6,5
The Horror of H.P. Lovecraft (LovecraCked! The Movie),"Comedy, Horror, Science Fiction & Fantasy",24-07-06,24,07,2006,,Rotten,40,5,Spilled,31,1521,0,2,3
The Horror Show,Horror,28-04-89,28,04,1989,95,Rotten,0,8,Spilled,27,1432,1,0,8
The Horseman,"Drama, Mystery & Suspense",03-08-08,03,08,2008,110,Fresh,60,30,Spilled,58,2318,10,18,12
The Host,"Action & Adventure, Art House & International, Comedy, Drama, Horror",09-03-07,09,03,2007,119,Certified-Fresh,93,157,Upright,72,178218,42,146,11
The Host,"Action & Adventure, Science Fiction & Fantasy, Romance",29-03-13,29,03,2013,125,Rotten,9,131,Spilled,49,53711,33,12,119
The Host,"Horror, Mystery & Suspense",17-01-20,17,01,2020,103,Rotten,25,16,Upright,82,51,4,4,12
The Hot Flashes,Comedy,12-07-13,12,07,2013,99,Rotten,36,25,Spilled,34,741,11,9,16
The Hours and Times,"Art House & International, Drama, Musical & Performing Arts",01-03-19,01,03,2019,60,Fresh,80,15,Spilled,59,64,4,12,3
The House,Comedy,30-06-17,30,06,2017,88,Rotten,20,81,Spilled,35,13395,17,16,65
The House I Live In,"Documentary, Special Interest",05-10-12,05,10,2012,108,Certified-Fresh,94,66,Upright,85,8117,27,62,4
The House of the Devil,Horror,30-10-09,30,10,2009,93,Certified-Fresh,85,101,Upright,63,55853,26,86,15
The House of the Seven Gables,Drama,,00,01,1900,89,Fresh,80,5,Upright,80,57,1,4,1
The House of the Spirits,"Art House & International, Classics, Drama, Romance",01-04-94,01,04,1994,138,Rotten,30,37,Upright,72,9379,16,11,26
The House That Jack Built,"Drama, Horror, Mystery & Suspense",14-12-18,14,12,2018,151,Rotten,59,132,Upright,65,1483,30,78,54
The House with a Clock in Its Walls,"Comedy, Kids & Family, Science Fiction & Fantasy",21-09-18,21,09,2018,105,Fresh,66,215,Spilled,45,3491,31,141,74
The Housemaid,"Art House & International, Drama, Mystery & Suspense",21-01-11,21,01,2011,106,Fresh,69,71,Spilled,54,5596,24,49,22
The Housemaid (Cô Hâu Gái),"Drama, Horror",16-02-18,16,02,2018,105,Fresh,71,14,Spilled,35,80,4,10,4
The Houses October Built,"Drama, Horror",10-10-14,10,10,2014,91,Fresh,60,15,Spilled,30,962,4,9,6
The Houses October Built 2,Horror,22-09-17,22,09,2017,101,Rotten,13,8,Spilled,48,167,1,1,7
The Human Centipede II (Full Sequence),"Drama, Horror",07-10-11,07,10,2011,88,Rotten,29,82,Spilled,23,11177,26,24,58
The Human Centipede III (Final Sequence),Horror,22-05-15,22,05,2015,103,Rotten,17,46,Spilled,11,2714,13,8,38
The Human Comedy,"Classics, Comedy, Drama, Kids & Family",02-03-43,02,03,1943,118,Fresh,80,5,Upright,68,360,0,4,1
The Human Experiment,"Documentary, Special Interest",17-04-15,17,04,2015,52,Rotten,50,10,Upright,61,193,4,5,5
The Human Race,"Horror, Science Fiction & Fantasy",13-06-14,13,06,2014,90,Rotten,42,12,Spilled,58,655,3,5,7
The Human Resources Manager,"Comedy, Drama",04-03-11,04,03,2011,103,Fresh,75,32,Upright,62,414,8,24,8
The Human Scale,Documentary,18-10-13,18,10,2013,83,Fresh,64,11,Upright,84,174,6,7,4
Human Tornado,"Action & Adventure, Comedy, Cult Movies",19-09-84,19,09,1984,85,Fresh,80,5,Upright,70,2038,0,4,1
The Humanity Bureau,"Action & Adventure, Science Fiction & Fantasy",06-04-18,06,04,2018,95,Rotten,25,8,Spilled,23,191,2,2,6
The Humbling,Drama,23-01-15,23,01,2015,113,Rotten,52,61,Spilled,28,1203,22,32,29
The Hummingbird Project,"Comedy, Drama, Mystery & Suspense",15-03-19,15,03,2019,111,Rotten,58,118,Spilled,48,216,30,68,50
The Hunchback of Notre Dame II,"Animation, Kids & Family",31-12-01,31,12,2001,68,Rotten,30,10,Spilled,26,14626,0,3,7
The Hundred-Foot Journey,Drama,08-08-14,08,08,2014,122,Fresh,67,147,Upright,81,32459,43,99,48
The Hunger,Horror,29-04-83,29,04,1983,97,Rotten,53,32,Upright,66,12861,5,17,15
The Hunger Games,"Drama, Mystery & Suspense, Science Fiction & Fantasy",23-03-12,23,03,2012,142,Certified-Fresh,84,310,Upright,81,902701,57,261,49
The Hunger Games: Catching Fire,"Action & Adventure, Science Fiction & Fantasy",22-11-13,22,11,2013,146,Certified-Fresh,90,290,Upright,89,424372,62,260,30
The Hunger Games: Mockingjay - Part 1,"Action & Adventure, Drama, Science Fiction & Fantasy",21-11-14,21,11,2014,123,Fresh,69,298,Upright,71,246990,57,205,94
The Hunger Games: Mockingjay - Part 2,"Action & Adventure, Drama, Science Fiction & Fantasy",20-11-15,20,11,2015,136,Fresh,69,288,Upright,66,201337,53,200,88
The Hungry Ghosts,Drama,01-10-10,01,10,2010,105,Rotten,14,7,Upright,62,48,5,1,6
The Hunt,Horror,24-07-12,24,07,2012,74,Fresh,83,6,,,,1,5,1
The Hunt (Jagten),Drama,12-07-13,12,07,2013,110,Certified-Fresh,93,134,Upright,93,21417,34,124,10
The Hunt,"Action & Adventure, Horror, Mystery & Suspense",13-03-20,13,03,2020,90,Rotten,57,246,,66,964,38,139,107
The Hunter,"Art House & International, Drama",06-04-12,06,04,2012,100,Fresh,72,95,Upright,62,16181,23,68,27
The Hunter's Prayer,"Action & Adventure, Drama, Mystery & Suspense",09-06-17,09,06,2017,91,Rotten,33,21,Spilled,23,354,5,7,14
The Hunting Ground,Documentary,27-02-15,27,02,2015,102,Certified-Fresh,93,72,Upright,85,3108,31,67,5
The Hunting of the President,"Documentary, Special Interest",01-06-04,01,06,2004,88,Fresh,74,57,Spilled,53,1253,23,42,15
The Hunting Party,"Action & Adventure, Art House & International, Classics, Western",26-05-71,26,05,1971,108,Rotten,20,10,Spilled,54,1305,4,2,8
The Huntsman: Winter's War,"Action & Adventure, Drama, Science Fiction & Fantasy",22-04-16,22,04,2016,114,Rotten,19,215,Spilled,45,45164,42,41,174
The Hurricane Heist,"Action & Adventure, Drama, Mystery & Suspense",09-03-18,09,03,2018,103,Rotten,47,59,Spilled,23,832,10,28,31
The Hurt Locker,"Action & Adventure, Drama",26-06-09,26,06,2009,127,Certified-Fresh,97,285,Upright,84,96061,59,277,8
The Hustle,Comedy,10-05-19,10,05,2019,94,Rotten,13,165,Spilled,43,3601,28,22,143
The Ice Cream Truck,"Comedy, Horror",18-08-17,18,08,2017,96,Fresh,72,18,Spilled,36,125,3,13,5
The Iceman,"Drama, Mystery & Suspense",03-05-13,03,05,2013,105,Fresh,66,127,Upright,62,24750,37,84,43
The Identical,Drama,05-09-14,05,09,2014,107,Rotten,6,69,Upright,62,5300,23,4,65
The Ides of March,"Drama, Mystery & Suspense",07-10-11,07,10,2011,100,Certified-Fresh,84,243,Upright,73,63264,55,204,39
The Illusionist (L'illusionniste),"Animation, Art House & International, Comedy, Drama",25-12-10,25,12,2010,90,Certified-Fresh,90,132,Upright,79,16103,33,119,13
The Imaginarium of Doctor Parnassus,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",25-12-09,25,12,2009,122,Fresh,64,197,Upright,60,295757,50,126,71
The Imitation Game,"Drama, Mystery & Suspense",28-11-14,28,11,2014,113,Certified-Fresh,89,281,Upright,91,103920,60,251,30
The Immigrant,"Drama, Romance",16-05-14,16,05,2014,117,Certified-Fresh,85,112,Upright,60,16351,41,95,17
The Immortalists,"Documentary, Drama",28-11-14,28,11,2014,78,Fresh,67,12,Upright,69,339,6,8,4
The Impossible,"Action & Adventure, Drama",21-12-12,21,12,2012,114,Certified-Fresh,81,201,Upright,84,49231,52,163,38
The Imposter,"Documentary, Special Interest",13-07-12,13,07,2012,95,Certified-Fresh,95,116,Upright,78,93690,37,110,6
The In-Laws,"Action & Adventure, Comedy, Mystery & Suspense",01-06-79,01,06,1979,103,Fresh,88,24,Upright,83,4831,0,21,3
The Inbetweeners,"Art House & International, Comedy",07-09-12,07,09,2012,97,Rotten,53,51,Upright,70,19783,17,27,24
The Incomparable Rose Hartman,Documentary,02-06-17,02,06,2017,71,Fresh,75,8,,,,5,6,2
The Incredible Burt Wonderstone,Comedy,15-03-13,15,03,2013,100,Rotten,38,194,Spilled,33,62931,47,74,121
The Incredible Hulk,"Action & Adventure, Science Fiction & Fantasy",12-06-08,12,06,2008,112,Fresh,67,233,Upright,70,739459,47,156,77
The Incredible Jessica James,Comedy,,00,01,1900,85,Certified-Fresh,88,59,Upright,66,807,18,52,7
The Incredible Mr. Limpet,"Animation, Comedy, Kids & Family",01-01-64,01,01,1964,102,Rotten,40,10,Upright,60,7880,0,4,6
The Incredibly True Adventure of Two Girls in Love,"Art House & International, Comedy, Drama, Romance, Gay & Lesbian",16-06-95,16,06,1995,94,Fresh,64,11,Upright,69,6464,4,7,4
The Indian Runner,Drama,01-06-91,01,06,1991,126,Fresh,74,19,Upright,81,5712,5,14,5
The Inevitable Defeat of Mister & Pete,Drama,11-10-13,11,10,2013,108,Fresh,86,37,Upright,88,4756,11,32,5
The Infidel,Comedy,05-05-10,05,05,2010,104,Fresh,60,25,Spilled,45,8388,4,15,10
The Infiltrator,Drama,13-07-16,13,07,2016,127,Fresh,72,179,Upright,71,19067,41,128,51
The Infiltrators,Drama,01-05-20,01,05,2020,95,Fresh,87,31,Upright,67,6,11,27,4
The Influence (La influencia),Horror,,00,01,1900,,Rotten,0,5,Spilled,26,43,0,0,5
The Inhabitants,"Horror, Mystery & Suspense",,00,01,1900,90,Fresh,71,7,Spilled,12,90,0,5,2
The Innkeepers,"Horror, Mystery & Suspense",03-02-12,03,02,2012,101,Certified-Fresh,79,121,Spilled,42,93092,38,96,25
The Innocent (L'innocente),"Art House & International, Drama, Romance",11-01-79,11,01,1979,125,Fresh,79,19,Upright,81,513,7,15,4
The Institute,"Drama, Horror",03-03-17,03,03,2017,90,Rotten,0,5,Spilled,14,179,2,0,5
The Insult (L'insulte),Drama,12-01-18,12,01,2018,113,Certified-Fresh,87,114,Upright,89,1080,25,99,15
The Intended,Drama,17-06-04,17,06,2004,112,Rotten,33,27,Spilled,36,98,12,9,18
The Intern,Comedy,25-09-15,25,09,2015,121,Fresh,60,194,Upright,73,45185,44,117,78
